Output data:
OUT[0][19][2] = 68632872.000000
OUT[0][19][3] = 68643168.000000
OUT[0][19][4] = 68653472.000000
OUT[0][19][5] = 68663760.000000
OUT[0][19][6] = 68674048.000000
OUT[0][19][7] = 68684328.000000
OUT[0][19][8] = 68694656.000000
OUT[0][19][9] = 68704944.000000
OUT[0][19][10] = 68715232.000000
OUT[0][19][11] = 68725536.000000
OUT[0][19][12] = 68735832.000000
OUT[0][19][13] = 68746128.000000
OUT[0][19][14] = 68756416.000000
OUT[0][19][15] = 68766696.000000
OUT[0][20][0] = 68777024.000000
OUT[0][20][1] = 68787312.000000
OUT[0][20][2] = 68797608.000000
OUT[0][20][3] = 68807904.000000
OUT[0][20][4] = 45634804.000000
OUT[0][20][5] = 46129680.000000
OUT[0][20][6] = 68838784.000000
OUT[0][20][7] = 68849064.000000
OUT[0][20][8] = 68859392.000000
OUT[0][20][9] = 68869680.000000
OUT[0][20][10] = 68879968.000000
OUT[0][20][11] = 68890272.000000
OUT[0][20][12] = 68900568.000000
OUT[0][20][13] = 68910864.000000
OUT[0][20][14] = 68921152.000000
OUT[0][20][15] = 68931432.000000
OUT[0][21][0] = 68941760.000000
OUT[0][21][1] = 68952048.000000
OUT[0][21][2] = 68962344.000000
OUT[0][21][3] = 68972640.000000
OUT[0][21][4] = 68982944.000000
OUT[0][21][5] = 68993232.000000
OUT[0][21][6] = 69003520.000000
OUT[0][21][7] = 69013800.000000
OUT[0][21][8] = 69024128.000000
OUT[0][21][9] = 69034416.000000
OUT[0][21][10] = 69044704.000000
OUT[0][21][11] = 69055008.000000
OUT[0][21][12] = 69065304.000000
OUT[0][21][13] = 45805208.000000
OUT[0][21][14] = 46302476.000000
OUT[0][21][15] = 69096168.000000
OUT[0][22][0] = 69106496.000000
OUT[0][22][1] = 69116784.000000
OUT[0][22][2] = 69127080.000000
OUT[0][22][3] = 69137376.000000
OUT[0][22][4] = 69147680.000000
OUT[0][22][5] = 69157968.000000
OUT[0][22][6] = 69168256.000000
OUT[0][22][7] = 69178536.000000
OUT[0][22][8] = 69188864.000000
OUT[0][22][9] = 69199152.000000
OUT[0][22][10] = 69209440.000000
OUT[0][22][11] = 69219744.000000
OUT[0][22][12] = 69230040.000000
OUT[0][22][13] = 69240336.000000
OUT[0][22][14] = 69250624.000000
OUT[0][22][15] = 69260904.000000
OUT[0][23][0] = 69271232.000000
OUT[0][23][1] = 69281520.000000
OUT[0][23][2] = 69291816.000000
OUT[0][23][3] = 69302112.000000
OUT[0][23][4] = 69312416.000000
OUT[0][23][5] = 69322704.000000
OUT[0][23][6] = 45975596.000000
OUT[0][23][7] = 46475280.000000
OUT[0][23][8] = 69353600.000000
OUT[0][23][9] = 69363888.000000
OUT[0][23][10] = 69374176.000000
OUT[0][23][11] = 69384480.000000
OUT[0][23][12] = 69394776.000000
OUT[0][23][13] = 69405072.000000
OUT[0][23][14] = 69415360.000000
OUT[0][23][15] = 69425640.000000
OUT[0][24][0] = 69435968.000000
OUT[0][24][1] = 69446256.000000
OUT[0][24][2] = 69456552.000000
OUT[0][24][3] = 69466848.000000
OUT[0][24][4] = 69477152.000000
OUT[0][24][5] = 69487440.000000
OUT[0][24][6] = 69497728.000000
OUT[0][24][7] = 69508008.000000
